,Flaga,Nazwa państwa,Stolica[1],Pełna nazwa państwa,Język urzędowy,"Powierzchnia
(km²)","Liczba ludności (2014)",UE,Euro
1,,Albania,Tirana,Republika Albanii,albański,28 748,3 020 209,N,N
2,,Andora,Andora,Księstwo Andory,kataloński,468,85 458,N,T
3,,Austria,Wiedeń,Republika Austrii,niemiecki,83 871,8 223 062,T,T
4,,Belgia,Bruksela,Królestwo Belgii,"francuski, niderlandzki, niemiecki",30 528,10 449 361,T,T
5,,Białoruś,Mińsk,Republika Białorusi,"białoruski, rosyjski",207 600,9 608 058,N,N
6,,Bośnia i Hercegowina,Sarajewo,Bośnia i Hercegowina,"bośniacki, chorwacki, serbski",51 129,3 871 643,N,N
7,,Bułgaria,Sofia,Republika Bułgarii,bułgarski,110 910,6 924 716,T,N
8,,Chorwacja,Zagrzeb,Republika Chorwacji,chorwacki,56 542,4 470 534,T,N
9,,Czarnogóra,Podgorica,Czarnogóra,czarnogórski,13 812,650 036,N,T
10,,Czechy,Praga,Republika Czeska,czeski,78 866,10 627 448,T,N
11,,Dania,Kopenhaga,Królestwo Danii,duński,43 094,5 569 077,T,N
12,,Estonia,Tallinn,Republika Estońska,estoński,45 226,1 257 921,T,T
13,,Finlandia,Helsinki,Republika Finlandii,"fiński, szwedzki",338 145,5 268 799,T,T
14,,Francja,Paryż,Republika Francuska,francuski,675 417,66 259 012,T,T
15,,Grecja[a],Ateny,Republika Grecka,grecki,131 940,10 775 557,T,T
16,,Hiszpania[b],Madryt,Królestwo Hiszpanii,hiszpański,504 645,47 737 941,T,T
17,,Holandia,Amsterdam,Królestwo Niderlandów,niderlandzki,41 526,16 877 351,T,T
18,,Irlandia,Dublin,Irlandia,"irlandzki, angielski",70 273,4 832 765,T,T
19,,Islandia,Reykjavík,Republika Islandii,islandzki,103 125,317 351,N,N
20,,Kazachstan[c],Astana,Republika Kazachstanu,"kazachski, rosyjski",2 724 900,17 948 816,N,N
21,,Liechtenstein,Vaduz,Księstwo Liechtensteinu,niemiecki,160,37 313,N,N
22,,Litwa,Wilno,Republika Litewska,litewski,65 200,3 505 738,T,T
23,,Luksemburg,Luksemburg,Wielkie Księstwo Luksemburga,"luksemburski, niemiecki, francuski",2586,520 672,T,T
24,,Łotwa,Ryga,Republika Łotewska,łotewski,64 589,2 165 165,T,T
25,,Macedonia Północna,Skopje,Republika Macedonii Północnej,macedoński,25 713,2 091 719,N,N
26,,Malta,Valletta,Republika Malty,"maltański, angielski",316,412 665,T,T
27,,Mołdawia,Kiszyniów,Republika Mołdawii,mołdawski (rumuński),33 843,3 583 288,N,N
28,,Monako,Monako,Księstwo Monako,francuski,"1,95",30 508,N,T
29,,Niemcy,Berlin,Republika Federalna Niemiec,niemiecki,357 114,80 996 685,T,T
30,,Norwegia,Oslo,Królestwo Norwegii,norweski,324 220,5 147 792,N,N
31,,Polska,Warszawa,Rzeczpospolita Polska,polski,312 679,38 346 279,T,N
32,,Portugalia[b],Lizbona,Republika Portugalska,portugalski,92 931,10 813 834,T,T
33,,Rosja[c],Moskwa,Federacja Rosyjska,rosyjski,17 075 400,142 470 272,N,N
34,,Rumunia,Bukareszt,Rumunia,rumuński,238 391,21 729 871,T,N
35,,San Marino,San Marino,Republika San Marino,włoski,"61,6",32 742,N,T
36,,Serbia,Belgrad,Republika Serbii,serbski,88 361,7 209 764[d],N,N
37,,Słowacja,Bratysława,Republika Słowacka,słowacki,49 035,5 443 583,T,T
38,,Słowenia,Lublana,Republika Słowenii,słoweński,20 273,1 988 292,T,T
39,,Szwajcaria,Berno (de facto),Konfederacja Szwajcarska,"niemiecki, francuski, włoski, romansz",41 290,8 061 516,N,N
40,,Szwecja,Sztokholm,Królestwo Szwecji,szwedzki,449 964,9 723 809,T,N
41,,Turcja[c],Ankara,Republika Turcji,turecki,783 580,81 619 392,N,N
42,,Ukraina[e],Kijów,Ukraina,ukraiński,603 700,42 805 731,N,N
43,,Watykan,Watykan,Państwo Watykańskie,"łaciński, włoski","0,44",800[1],N,T
44,,Węgry,Budapeszt,Węgry,węgierski,93 030,9 919 128,T,N
45,,Wielka Brytania,Londyn,Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej,angielski,244 820,63 742 977,T,N
46,,Włochy,Rzym,Republika Włoska,włoski,301 300,61 680 122,T,T
